customerID,User_ID,gender,Age,Region,tenure,MultipleLines,InternetService,PaymentMethod,Plan_Type,Data_Usage_GB,Call_Duration_Min,Monthly_Bill,MonthlyCharges,TotalCharges,Network_Rating,Churn
4080-IIARD,45,Female,55,West,13,Yes,DSL,Electronic check,Postpaid,13.53,463,937.09,76.2,981.45,5,No
3714-NTNFO,46,Female,20,East,49,Yes,Fiber optic,Electronic check,Postpaid,2.78,874,351.57,84.5,3906.7,1,No
5948-UJZLF,47,Male,40,North,2,No,DSL,Mailed check,Postpaid,28.57,944,826.28,49.25,97,2,No
7760-OYPDY,48,Female,54,East,2,No,Fiber optic,Electronic check,Prepaid,14.55,775,1276.75,80.65,144.15,2,Yes
7639-LIAYI,49,Male,54,North,52,Yes,DSL,Credit card (automatic),Prepaid,41.31,506,963.37,79.75,4217.8,4,No
2954-PIBKO,50,Female,27,South,69,Yes,DSL,Credit card (automatic),Postpaid,4.17,1358,1582.36,64.15,4254.1,5,No
8012-SOUDQ,51,Female,27,East,43,Yes,Fiber optic,Electronic check,Postpaid,11.7,1312,1995.48,90.25,3838.75,5,No
9420-LOJKX,52,Female,36,East,15,No,Fiber optic,Credit card (automatic),Postpaid,36.65,702,463.15,99.1,1426.4,2,Yes
6575-SUVOI,53,Female,34,West,25,Yes,DSL,Credit card (automatic),Prepaid,30.14,721,973.34,69.5,1752.65,1,No
7495-OOKFY,54,Female,38,East,8,Yes,Fiber optic,Credit card (automatic),Postpaid,3.69,1445,918.87,80.65,633.3,1,Yes
4667-QONEA,55,Female,31,East,60,No,DSL,Credit card (automatic),Prepaid,43.92,544,678.54,74.85,4456.35,1,No
1658-BYGOY,56,Male,26,South,18,Yes,Fiber optic,Electronic check,Postpaid,43.92,1118,476.38,95.45,1752.55,5,Yes
8769-KKTPH,57,Female,63,East,63,Yes,Fiber optic,Credit card (automatic),Postpaid,16.86,1474,224.82,99.65,6311.2,4,No
5067-XJQFU,58,Male,18,South,66,Yes,Fiber optic,Electronic check,Prepaid,17.35,1320,1785.53,108.45,7076.35,2,No
3957-SQXML,59,Female,62,South,34,Yes,No,Credit card (automatic),Prepaid,49.46,646,897.71,24.95,894.3,3,No
5954-BDFSG,60,Female,30,South,72,Yes,Fiber optic,Credit card (automatic),Postpaid,31.5,499,1044.1,107.5,7853.7,4,No
0434-CSFON,61,Female,21,South,47,Yes,Fiber optic,Electronic check,Postpaid,26.8,534,1842.19,100.5,4707.1,3,No
1215-FIGMP,62,Male,18,North,60,Yes,Fiber optic,Bank transfer (automatic),Postpaid,41.99,695,1574.95,89.9,5450.7,4,No
0526-SXDJP,63,Male,57,West,72,No phone service,DSL,Bank transfer (automatic),Prepaid,14.62,669,347.95,42.1,2962,1,No
0557-ASKVU,64,Female,49,North,18,No,DSL,Credit card (automatic),Prepaid,21.74,1091,1174.3,54.4,957.1,5,No
5698-BQJOH,65,Female,51,East,9,Yes,Fiber optic,Electronic check,Prepaid,13.75,711,940.28,94.4,857.25,3,Yes
5122-CYFXA,66,Female,45,North,3,No,DSL,Electronic check,Prepaid,39.56,807,1614.7,75.3,244.1,4,No
8627-ZYGSZ,67,Male,48,North,47,Yes,Fiber optic,Electronic check,Prepaid,28.88,338,1476.04,78.9,3650.35,5,No
3410-YOQBQ,68,Female,25,East,31,No,DSL,Mailed check,Prepaid,33.11,1487,1411.77,79.2,2497.2,3,No
3170-NMYVV,69,Female,56,East,50,No,No,Bank transfer (automatic),Postpaid,12.99,770,747.04,20.15,930.9,2,No
7410-OIEDU,70,Male,43,East,10,No,Fiber optic,Mailed check,Postpaid,11.4,687,1629.43,79.85,887.35,4,No
2273-QCKXA,71,Male,51,North,1,No,DSL,Mailed check,Prepaid,24.67,284,199.54,49.05,49.05,2,No
0731-EBJQB,72,Female,20,North,52,No,No,Electronic check,Postpaid,37.01,465,403.29,20.4,1090.65,1,No
1891-QRQSA,73,Male,29,East,64,Yes,Fiber optic,Bank transfer (automatic),Postpaid,26.5,987,737.68,111.6,7099,2,No
8028-PNXHQ,74,Male,18,West,62,Yes,No,Bank transfer (automatic),Prepaid,2.12,548,245.93,24.25,1424.6,2,No
5630-AHZIL,75,Female,61,West,3,No,DSL,Bank transfer (automatic),Postpaid,43.49,1023,546.49,64.5,177.4,4,No
2673-CXQEU,76,Female,22,South,56,Yes,Fiber optic,Electronic check,Prepaid,3.7,683,1677.29,110.5,6139.5,1,No
6416-JNVRK,77,Female,47,East,46,No,DSL,Credit card (automatic),Prepaid,47.81,1069,1901.68,55.65,2688.85,2,No
5590-ZSKRV,78,Female,47,South,8,No,DSL,Mailed check,Postpaid,1.74,164,678.74,54.65,482.25,5,No
0191-ZHSKZ,79,Male,34,West,30,No,DSL,Electronic check,Prepaid,34.88,981,602.58,74.75,2111.3,3,No
3887-PBQAO,80,Female,64,South,45,Yes,No,Credit card (automatic),Prepaid,4.57,723,631.8,25.9,1216.6,2,No
5919-TMRGD,81,Female,40,East,1,No,Fiber optic,Electronic check,Prepaid,45.58,1307,627.67,79.35,79.35,1,Yes
8108-UXRQN,82,Female,32,East,11,No phone service,DSL,Electronic check,Prepaid,23.49,1084,168.27,50.55,565.35,2,No
9191-MYQKX,83,Female,54,East,7,No,Fiber optic,Bank transfer (automatic),Prepaid,7.31,255,1861.14,75.15,496.9,3,Yes
9919-YLNNG,84,Female,38,North,42,No,Fiber optic,Bank transfer (automatic),Prepaid,17.37,296,506.03,103.8,4327.5,1,No
0318-ZOPWS,85,Female,31,South,49,No,No,Bank transfer (automatic),Prepaid,8.66,807,898.01,20.15,973.35,4,No
4445-ZJNMU,86,Male,19,West,9,Yes,Fiber optic,Credit card (automatic),Prepaid,8.94,1200,118.41,99.3,918.75,1,No
4808-YNLEU,87,Female,28,West,35,No,DSL,Bank transfer (automatic),Postpaid,47.43,196,1730.11,62.15,2215.45,4,No
1862-QRWPE,88,Female,56,West,48,No,No,Bank transfer (automatic),Postpaid,22.54,167,1489.2,20.65,1057,1,No
2796-NNUFI,89,Female,55,North,46,No,No,Mailed check,Postpaid,39.55,1455,1898.84,19.95,927.1,3,No
3016-KSVCP,90,Male,51,North,29,No phone service,DSL,Mailed check,Prepaid,32.16,461,1585.07,33.75,1009.25,3,No
4767-HZZHQ,91,Male,55,East,30,No,Fiber optic,Bank transfer (automatic),Prepaid,33.98,412,696.04,82.05,2570.2,1,No
2424-WVHPL,92,Male,51,West,1,No,Fiber optic,Electronic check,Postpaid,7.02,186,570.96,74.7,74.7,2,No
7233-PAHHL,93,Male,35,North,66,Yes,DSL,Mailed check,Postpaid,12.09,1248,1425.66,84,5714.25,3,No
6067-NGCEU,94,Female,47,East,65,Yes,Fiber optic,Credit card (automatic),Postpaid,39.44,1362,791.81,111.05,7107,4,No
9848-JQJTX,95,Male,32,West,72,Yes,Fiber optic,Bank transfer (automatic),Prepaid,48.55,1007,1175.81,100.9,7459.05,4,No
8637-XJIVR,96,Female,44,South,12,Yes,Fiber optic,Electronic check,Postpaid,13.5,68,111.89,78.95,927.35,5,Yes
9803-FTJCG,97,Male,51,East,71,Yes,DSL,Credit card (automatic),Postpaid,13.94,244,217.58,66.85,4748.7,4,No
0278-YXOOG,98,Male,55,North,5,No,No,Mailed check,Prepaid,23.91,379,1117.2,21.05,113.85,5,Yes
3212-KXOCR,99,Male,50,North,52,No,No,Bank transfer (automatic),Postpaid,49.2,224,1175.54,21,1107.2,1,No
4598-XLKNJ,100,Female,41,East,25,No,Fiber optic,Electronic check,Prepaid,13.81,1051,1527.76,98.5,2514.5,1,Yes
6380-ARCEH,101,Male,32,East,1,No,No,Mailed check,Prepaid,20.65,498,350.73,20.2,20.2,1,No
3679-XASPY,102,Female,47,North,1,No,No,Electronic check,Prepaid,44.63,995,1075.05,19.45,19.45,2,No
7123-WQUHX,103,Male,59,South,38,Yes,Fiber optic,Bank transfer (automatic),Postpaid,0.64,1427,469.45,95,3605.6,2,No
5386-THSLQ,104,Female,34,West,66,No phone service,DSL,Bank transfer (automatic),Postpaid,2.47,190,277.07,45.55,3027.25,5,No
3192-NQECA,105,Male,22,South,68,Yes,Fiber optic,Bank transfer (automatic),Prepaid,30.4,807,879.94,110,7611.85,4,Yes
6180-YBIQI,106,Male,46,East,5,No phone service,DSL,Mailed check,Postpaid,45.42,979,410.34,24.3,100.2,4,No
6728-DKUCO,107,Female,21,South,72,Yes,Fiber optic,Electronic check,Postpaid,12.32,142,521.39,104.15,7303.05,1,No
9750-BOOHV,108,Female,27,North,32,No phone service,DSL,Mailed check,Postpaid,23.75,288,703.35,30.15,927.65,3,No
8597-CWYHH,109,Male,34,East,43,Yes,Fiber optic,Mailed check,Postpaid,22.8,254,592.84,94.35,3921.3,2,No
2848-YXSMW,110,Male,27,West,72,No,No,Credit card (automatic),Prepaid,23.91,609,266.42,19.4,1363.25,2,No
0486-HECZI,111,Male,34,North,55,Yes,Fiber optic,Electronic check,Postpaid,31.31,294,270.84,96.75,5238.9,1,Yes
4549-ZDQYY,112,Female,37,North,52,No,DSL,Credit card (automatic),Prepaid,23.75,881,467.17,57.95,3042.25,2,No
5712-AHQNN,113,Female,41,West,43,No,Fiber optic,Electronic check,Prepaid,22.65,1390,196.06,91.65,3954.1,1,No
4846-WHAFZ,114,Female,22,West,37,Yes,Fiber optic,Electronic check,Postpaid,23.98,974,1290.27,76.5,2868.15,5,Yes
5256-SKJGO,115,Female,51,South,64,No phone service,DSL,Electronic check,Prepaid,29.75,344,645.92,54.6,3423.5,4,No
3071-VBYPO,116,Male,23,East,3,No,Fiber optic,Electronic check,Postpaid,27.08,689,631.52,89.85,248.4,3,No
9560-BBZXK,117,Female,19,West,36,No phone service,DSL,Bank transfer (automatic),Postpaid,42.78,905,730.8,31.05,1126.35,4,No
5299-RULOA,118,Female,30,West,10,Yes,Fiber optic,Electronic check,Prepaid,2.95,1355,1359.31,100.25,1064.65,4,Yes
8402-OOOHJ,119,Female,60,East,41,No,No,Mailed check,Prepaid,41.75,66,1754.2,20.65,835.15,5,No
9445-ZUEQE,120,Male,60,West,27,Yes,Fiber optic,Credit card (automatic),Prepaid,42.27,120,1542.27,85.2,2151.6,2,No
1091-SOZGA,121,Female,28,West,56,Yes,Fiber optic,Credit card (automatic),Prepaid,14.6,1342,1482.31,99.8,5515.45,3,No
2928-HLDBA,122,Female,64,South,6,No,No,Mailed check,Postpaid,23.41,1398,1020.34,20.7,112.75,2,No
0404-SWRVG,123,Male,40,North,3,Yes,Fiber optic,Electronic check,Postpaid,22.21,354,1418.23,74.4,229.55,4,Yes
6497-TILVL,124,Female,33,North,7,No,DSL,Mailed check,Postpaid,11.32,1080,1150.25,50.7,350.35,1,No
7219-TLZHO,125,Female,48,North,4,No,No,Mailed check,Prepaid,20.14,1387,510.88,20.85,62.9,4,No
4622-YNKIJ,126,Male,28,North,33,No,Fiber optic,Electronic check,Prepaid,2.7,866,496.32,88.95,3027.65,2,No
4412-YLTKF,127,Female,33,West,27,Yes,Fiber optic,Electronic check,Prepaid,14.25,1176,663.14,78.05,2135.5,4,Yes
6734-PSBAW,128,Male,25,East,72,Yes,No,Bank transfer (automatic),Postpaid,40.93,870,1830.53,23.55,1723.95,1,No
3930-ZGWVE,129,Male,21,East,1,No,No,Mailed check,Prepaid,14.59,242,1140.09,19.75,19.75,5,No
2639-UGMAZ,130,Male,57,South,71,No phone service,DSL,Electronic check,Postpaid,41,578,1494.42,56.45,3985.35,2,No
2876-GZYZC,131,Female,21,South,13,Yes,Fiber optic,Electronic check,Prepaid,26.81,220,758.46,85.95,1215.65,4,No
6207-WIOLX,132,Female,42,West,25,No phone service,DSL,Credit card (automatic),Postpaid,44.05,300,874.66,58.6,1502.65,2,Yes
8587-XYZSF,133,Male,20,East,67,No,DSL,Bank transfer (automatic),Postpaid,28.95,1460,338.57,50.55,3260.1,5,No
3091-FYHKI,134,Male,49,East,1,No phone service,DSL,Electronic check,Prepaid,1.97,1280,425.46,35.45,35.45,4,Yes
2372-HWUHI,135,Male,20,North,2,No,DSL,Electronic check,Prepaid,33.93,590,1671.98,44.35,81.25,4,Yes
7799-LGRDP,136,Female,44,West,43,Yes,No,Credit card (automatic),Postpaid,2.72,465,1211.19,25.7,1188.2,2,No
7850-VWJUU,137,Female,46,West,23,No,Fiber optic,Bank transfer (automatic),Postpaid,22.8,843,741.31,75,1778.5,2,No
3774-VBNXY,138,Female,49,North,64,No,No,Mailed check,Prepaid,46.51,1453,1625.42,20.2,1277.75,1,No
6217-KDYWC,139,Male,36,West,57,No,No,Mailed check,Prepaid,8.68,1217,568.39,19.6,1170.55,5,No
0390-DCFDQ,140,Female,38,West,1,No,Fiber optic,Mailed check,Postpaid,19.8,74,1954.46,70.45,70.45,1,Yes
3146-MSEGF,141,Female,22,South,72,Yes,DSL,Credit card (automatic),Prepaid,36.63,717,755.15,88.05,6425.65,4,No
4080-OGPJL,142,Female,35,East,8,Yes,DSL,Electronic check,Postpaid,44.17,1146,740.89,71.15,563.65,2,Yes
1095-WGNGG,143,Female,45,West,61,Yes,Fiber optic,Bank transfer (automatic),Postpaid,33.71,681,692.63,101.05,5971.25,4,No
2636-SJDOU,144,Male,59,South,64,Yes,Fiber optic,Credit card (automatic),Prepaid,13.28,1166,332.01,84.3,5289.05,4,No
1131-QQZEB,145,Male,39,East,71,Yes,No,Bank transfer (automatic),Prepaid,33.89,554,311.16,23.95,1756.2,3,No
5716-EZXZN,146,Female,38,North,65,Yes,Fiber optic,Credit card (automatic),Prepaid,15.19,385,1331.4,99.05,6416.7,3,No
6837-BJYDQ,147,Male,23,South,3,No,No,Mailed check,Prepaid,36.06,474,1762.72,19.6,61.35,4,No
2135-RXIHG,148,Male,18,South,1,No,DSL,Electronic check,Prepaid,47.72,548,1601.99,45.65,45.65,2,Yes
6440-DKQGE,149,Male,22,East,30,No,DSL,Credit card (automatic),Postpaid,36.21,1437,368.1,64.5,1929.95,4,No
3466-BYAVD,150,Male,58,North,15,No,DSL,Mailed check,Postpaid,43.21,996,1136.61,69.5,1071.4,3,No
3780-YVMFA,151,Female,29,South,8,No,DSL,Electronic check,Prepaid,0.6,679,300.62,68.55,564.35,2,No
3874-EQOEP,152,Male,43,West,7,Yes,Fiber optic,Mailed check,Prepaid,36.02,1272,186.06,95,655.5,4,Yes
1679-JRFBR,153,Female,63,West,70,Yes,Fiber optic,Credit card (automatic),Prepaid,41.56,767,1347.13,108.15,7930.55,5,No
9073-ZZIAY,154,Male,51,West,62,No,DSL,Electronic check,Postpaid,2.51,1486,1116.79,86.1,5215.25,5,No
3077-RSNTJ,155,Female,31,North,6,No,No,Mailed check,Prepaid,43.64,388,255.85,19.7,113.5,4,No
6551-GNYDG,156,Female,43,South,14,No,Fiber optic,Bank transfer (automatic),Prepaid,13.21,708,166.38,80.9,1152.8,2,No
9167-APMXZ,157,Female,62,West,22,Yes,Fiber optic,Bank transfer (automatic),Postpaid,33.43,1011,1980.54,84.15,1821.95,4,No
2749-CTKAJ,158,Male,44,North,22,No,No,Mailed check,Postpaid,40.12,478,157.04,20.15,419.9,4,No
6371-NZYEG,159,Male,26,West,16,No,DSL,Mailed check,Prepaid,33.3,948,944.6,64.25,1024,3,No
7554-NEWDD,160,Male,43,East,10,Yes,No,Bank transfer (automatic),Prepaid,5.07,188,1058.78,25.7,251.6,5,No
8992-VONJD,161,Female,64,South,13,No,DSL,Electronic check,Prepaid,30.02,991,322.83,56,764.55,3,No
0867-MKZVY,162,Female,39,South,20,Yes,Fiber optic,Electronic check,Postpaid,27.7,591,421.22,82.4,1592.35,3,Yes
4482-EWFMI,163,Female,64,North,2,No,Fiber optic,Electronic check,Prepaid,45.07,106,768.43,69.7,135.2,4,No
4648-YPBTM,164,Male,47,North,53,Yes,DSL,Bank transfer (automatic),Prepaid,20.51,1305,1547.18,73.9,3958.25,3,No
2907-ILJBN,165,Female,60,South,11,No,No,Mailed check,Prepaid,16.39,707,1063.46,20.6,233.9,5,No
6345-FZOQH,166,Male,34,West,69,No,No,Mailed check,Postpaid,37.62,484,1312.01,19.9,1363.45,3,No
3376-BMGFE,167,Female,43,West,4,No,Fiber optic,Bank transfer (automatic),Postpaid,20.93,433,1971.83,70.9,273,5,Yes
5997-OPVFA,168,Male,53,East,72,Yes,DSL,Bank transfer (automatic),Prepaid,32.48,609,1559.21,89.05,6254.45,3,No
3445-HXXGF,169,Male,18,West,58,No phone service,DSL,Electronic check,Prepaid,32.5,243,925.29,45.3,2651.2,5,Yes
1159-WFSGR,170,Female,25,North,16,No,No,Electronic check,Postpaid,44.46,583,948.24,20.4,321.4,3,No
7654-YWJUF,171,Male,52,North,43,No,Fiber optic,Bank transfer (automatic),Postpaid,30.14,567,1275.67,84.25,3539.25,3,No
1875-QIVME,172,Female,32,West,2,Yes,Fiber optic,Electronic check,Postpaid,25.36,765,1364.19,104.4,242.8,2,Yes
6727-IOTLZ,173,Male,64,North,14,No,DSL,Mailed check,Postpaid,7.37,800,1051.35,81.95,1181.75,5,No
0691-JVSYA,174,Female,39,South,53,No,Fiber optic,Bank transfer (automatic),Postpaid,6.23,234,1325.24,94.85,5000.2,5,Yes
5918-VUKWP,175,Female,31,South,32,No,No,Bank transfer (automatic),Postpaid,8.14,341,144.71,20.55,654.55,5,No
1744-JHKYS,176,Female,43,West,34,Yes,No,Electronic check,Postpaid,9.01,1408,916.28,24.7,780.2,1,No
2656-FMOKZ,177,Female,45,South,15,Yes,Fiber optic,Mailed check,Postpaid,32.07,781,629.98,74.45,1145.7,3,Yes
2070-FNEXE,178,Female,40,South,7,No,Fiber optic,Bank transfer (automatic),Postpaid,37.18,165,345.43,76.45,503.6,5,Yes
5947-SGKCL,179,Female,31,East,15,Yes,Fiber optic,Bank transfer (automatic),Prepaid,26.73,874,289.14,105.35,1559.25,1,No
3712-PKXZA,180,Male,41,East,61,No,No,Credit card (automatic),Prepaid,41.54,1122,1246.07,20.55,1252,2,No
6317-YPKDH,181,Female,19,South,1,No phone service,DSL,Bank transfer (automatic),Prepaid,49.57,734,1094.84,29.95,29.95,5,Yes
6582-OIVSP,182,Female,62,West,1,No,DSL,Mailed check,Postpaid,41.09,131,581.81,45.3,45.3,5,No
9367-WXLCH,183,Male,43,East,8,Yes,Fiber optic,Bank transfer (automatic),Prepaid,34.9,883,994.81,84.5,662.65,1,Yes
5524-KHNJP,184,Male,31,North,33,No,DSL,Credit card (automatic),Postpaid,26.86,382,1035.24,74.75,2453.3,3,No
1918-ZBFQJ,185,Female,24,North,13,No,Fiber optic,Electronic check,Postpaid,22.72,606,470.52,79.25,1111.65,2,Yes
1024-GUALD,186,Female,20,North,1,No phone service,DSL,Electronic check,Prepaid,4.68,384,1338.98,24.8,24.8,5,Yes
4827-USJHP,187,Male,64,West,20,No,DSL,Mailed check,Postpaid,20.27,581,1583.75,51.8,1023.85,3,No
8167-GJLRN,188,Male,40,South,3,No phone service,DSL,Electronic check,Prepaid,45.55,270,1603.78,30.4,82.15,2,No
0956-SYCWG,189,Female,63,North,13,No,No,Electronic check,Prepaid,40.5,684,1244.69,19.65,244.8,4,No
8017-UVSZU,190,Female,60,West,40,Yes,DSL,Credit card (automatic),Prepaid,11.19,372,1072.11,56.6,2379.1,4,No
7100-FQPRV,191,Male,64,East,43,Yes,DSL,Credit card (automatic),Postpaid,23.6,52,215.91,71.9,3173.35,2,No
2472-OVKUP,192,Male,62,South,6,No,Fiber optic,Electronic check,Prepaid,40.93,255,646.88,91,531,1,Yes
2984-RGEYA,193,Female,35,East,69,No,No,Bank transfer (automatic),Postpaid,3.84,89,277.22,19.75,1375.4,2,No
9680-NIAUV,194,Female,55,West,72,Yes,Fiber optic,Credit card (automatic),Prepaid,19.68,108,1931.26,109.7,8129.3,2,No
2146-EGVDT,195,Male,52,North,59,No,No,Credit card (automatic),Prepaid,42.67,1000,356.65,19.3,1192.7,1,No
2604-IJPDU,196,Female,32,North,20,No,Fiber optic,Electronic check,Prepaid,20.49,623,388.37,96.55,1901.65,1,No
9178-JHUVJ,197,Male,42,West,24,Yes,No,Bank transfer (automatic),Postpaid,4.34,693,1790.2,24.1,587.4,3,No
6168-YBYNP,198,Male,54,North,59,Yes,Fiber optic,Electronic check,Postpaid,27.36,892,1893.46,111.35,6519.75,3,No
7255-SSFBC,199,Male,45,South,72,Yes,Fiber optic,Bank transfer (automatic),Postpaid,43.16,1195,1555.08,112.25,8041.65,1,No
3645-DEYGF,200,Male,27,West,1,No,No,Mailed check,Prepaid,29.72,668,110.27,20.75,20.75,4,No
9323-HGFWY,201,Female,56,East,27,No,Fiber optic,Credit card (automatic),Prepaid,11.7,145,102.56,101.9,2681.15,4,No
8544-GOQSH,202,Female,34,West,14,No,Fiber optic,Credit card (automatic),Postpaid,19.52,1487,818.39,80.05,1112.3,2,No
3363-DTIVD,203,Male,56,South,71,Yes,Fiber optic,Electronic check,Postpaid,22.78,1308,372.45,105.55,7405.5,5,No
7018-WBJNK,204,Male,39,South,13,No,Fiber optic,Credit card (automatic),Postpaid,29.17,947,134.93,78.3,1033.95,2,No
9142-KZXOP,205,Male,43,West,44,No,Fiber optic,Credit card (automatic),Postpaid,38.09,1135,981.73,68.85,2958.95,2,No
7674-YTAFD,206,Female,61,West,33,No,Fiber optic,Bank transfer (automatic),Postpaid,5.39,1329,1891.82,79.95,2684.85,5,No
6348-SNFUS,207,Male,42,North,72,No phone service,DSL,Credit card (automatic),Postpaid,44.54,610,715.26,55.45,4179.2,1,No
1285-OKIPP,208,Male,34,South,1,No,Fiber optic,Electronic check,Prepaid,1.11,954,1356.17,79.9,79.9,4,Yes
7825-ECJRF,209,Female,30,West,19,No,Fiber optic,Electronic check,Postpaid,18.82,397,1339.25,106.6,1934.45,2,Yes
1347-KTTTA,210,Male,37,West,64,No,Fiber optic,Credit card (automatic),Prepaid,1.86,720,577.05,102.45,6654.1,5,No
